OperandA, OperandB, Result, Exception
          1,          0,          0,0
          0,          1,          0,0
          1,          2,          1,0
          2,         -4,          8,0
          4,          8,         96,0
         -8,         16,       -128,0
         16,         32,       1536,0
         32,        -64,       2048,0
         64,        128,      24576,0
       -128,        256,     -32768,0
        256,        512,     393216,0
        512,      -1024,     524288,0
       1024,       2048,    6291456,0
      -2048,       4096,   -8388608,0
       4096,       8192,  100663296,0
       8192,     -16384,  134217728,0
      16384,      32768, -536870912,0
     -32768,      65536,          0,0
      65536,     131072,          0,0
-2147483648,          2,          1,0
         55,          0,          0,0
       9999,          0,          0,0
